dataset,run_id,slot,leader_pubkey,leader_name,leader_city,leader_country,client_us,client_ms,observed_tier,expected_tier,match
dataset_2026_05_06_1655,25,417987424,H8fHToVcZPi5bupGZohGPX2SWs8NHzgFKQ31wi5n6oux,(no name),Amsterdam,NL,18658,18.66,fr2,fr2,yes
dataset_2026_05_06_1655,26,417987430,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,Frankfurt am Main,DE,16161,16.16,fr2,fr2,yes
dataset_2026_05_06_1655,27,417987435,FBbqKvwLfKGZrKrfSbPJz4ymQ7zMarhRyZtu1RBkSe89,(no name),Europe/Amsterdam,NL,16567,16.57,fr2,fr2,yes
dataset_2026_05_06_1655,28,417987442,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,be102.bhs-g1-nc5.qc.ca,,191858,191.86,mid,unknown,no
dataset_2026_05_06_1655,29,417987447,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,binance staking,Ashburn,US,189840,189.84,mid,mid,yes
dataset_2026_05_06_1655,30,417987454,JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,Forward Industries,Europe/London,GB,18288,18.29,fr2,fr2,yes
dataset_2026_05_06_1655,31,417987459,,(no data),,,16879,16.88,fr2,unknown,no
dataset_2026_05_06_1655,32,417987465,D2RV1q6FgePVVjrMa7AMzVbvvAeg5oS7TAV7qdNKSDsX,Validatore,Šiauliai,LT,17629,17.63,fr2,fr2,yes
dataset_2026_05_06_1655,33,417987471,HMWXfjaeSHhww1wvdBhqhHVP9v96mFB4LJ9xP2MXbDGH,(no data),,,18316,18.32,fr2,unknown,no
dataset_2026_05_06_1655,34,417987477,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Frankfurt am Main,DE,458402,458.40,tyo,fr2,no
dataset_2026_05_06_1655,35,417987484,FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,Coinbase 04,Amsterdam,NL,18510,18.51,fr2,fr2,yes
dataset_2026_05_06_1655,36,417987489,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,binance staking,Ashburn,US,18966,18.97,fr2,mid,no
dataset_2026_05_06_1655,37,417987494,PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb,Pumpkin's Pool ❤️,Asia/Singapore,SG,461339,461.34,tyo,tyo,yes
dataset_2026_05_06_1655,38,417987501,7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,Haus – Best APY & No Fees,Fechenheim,DE,18362,18.36,fr2,fr2,yes
dataset_2026_05_06_1655,39,417987507,E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,(no data),,,18300,18.30,fr2,unknown,no
dataset_2026_05_06_1655,40,417987513,,(no data),,,191472,191.47,mid,unknown,no
dataset_2026_05_06_1655,41,417987519,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Frankfurt am Main,DE,460007,460.01,tyo,fr2,no
dataset_2026_05_06_1655,42,417987525,6aDs9tUm2gErcPn2c1TZnp5cu2bQV9BzyuwW4baWQYd4,Coinbase 05,Dublin,IE,18043,18.04,fr2,fr2,yes
